UOF #,CAD#,Offense,Disposition,Date,Sex,Race,Age,Charges,Dialog,HandStrike,Vertical Stun,Decentralizatio,Forearm Strike,Batons,Wrist Compressio,KneeStrke,Less than Lethal,OC,FootStrike,K9Bite,Pressure Points,DiffusedStrike,Firearm,Conducted Energy Device,Other,Alcohol Use,Drug
UOF18-001,BE1800568,Loitering,No Arrest,2018-01-05,M,W,40.0,BE1800570 - 51.45 by other officers,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Pulled by clothing,Yes,No
UOF18-002A,BE1800867,5145 Alcohol Commitment,Emergency Detention Arrest,2018-01-07,M,W,53.0,51.45,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Restrained from walking out, handcuffed to bed",Yes,No
UOF18-002B,BE1800867,5145 Alcohol Commitment,Emergency Detention Arrest,2018-01-07,M,W,53.0,51.45,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Restrained from walking out, handcuffed to bed",Yes,No
UOF18-003,BE1800853,Domestic Violence,Criminal Arrest,2018-01-07,M,L,36.0,DV-Disorderly Conduct,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Force - Handcuffing,No,No
UOF18-004,BE1801194,5115 Mental Commitment,Emergency Detention Arrest,2018-01-10,F,B,64.0,51.15 Mental Commitment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilized to bed for medication,No,No
UOF18-005,BE1801358,5115 Mental Commitment,Emergency Detention Arrest,2018-01-11,F,A,16.0,51.15 Mental Commitment,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF18-006,BE1801934,5115 Mental Commitment,Criminal Arrest,2018-01-15,M,W,23.0,Disarming a Police Officer 941.21 & 51.15 Mental Commitment,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Forced Stabilazation on Ground, Forced handcuffing",No,No
UOF18-007,BE1802773,Weapons Offense,,2018-01-22,M,B,10.0,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Physically lowered to floor and held down,No,No
UOF18-008,BE1802964,5115 Mental Commitment,Emergency Detention Arrest,2018-01-24,M,W,36.0,51.15,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes
UOF18-009A,BE1803518,Resist or Interfere w/Police,Criminal Arrest,2018-01-28,M,B,40.0,Resist / Obstruct an Officer,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Escort Hold,No,No
